frame,track_id,center_x,center_y,box_area,confidence,time
0,13,69.5,92.96,14647.53,0.7961,0.0
1,13,70.14,94.31,14893.55,0.7601,0.04
2,13,70.58,94.13,14724.03,0.7847,0.08
3,13,71.1,94.4,14678.85,0.7975,0.12
4,13,71.66,96.26,14930.82,0.7867,0.16
5,13,71.45,98.42,15243.18,0.7492,0.2
6,13,71.25,103.57,16014.16,0.6729,0.24
7,13,70.87,106.78,16635.88,0.7143,0.28
8,13,70.81,108.64,16888.72,0.6884,0.32
9,13,71.31,110.6,17119.3,0.6074,0.36
10,13,70.96,113.66,17457.87,0.6903,0.4
11,13,70.98,116.39,17840.67,0.7218,0.44
12,13,70.99,118.74,18041.63,0.7326,0.48
13,13,70.79,120.12,18178.85,0.7604,0.52
14,13,70.46,120.67,18389.77,0.7952,0.56
15,13,70.52,120.89,18536.16,0.7928,0.6
16,13,70.55,121.08,18706.35,0.8144,0.64
17,13,70.6,121.51,19003.29,0.8283,0.68
18,13,70.56,121.89,19199.21,0.8449,0.72
19,13,71.43,122.03,19507.41,0.8121,0.76
20,13,72.55,122.31,20043.03,0.8584,0.8
21,13,73.22,123.61,20612.81,0.86,0.84
22,13,73.07,127.39,21219.83,0.8548,0.88
23,13,72.55,131.24,21763.45,0.8471,0.92
24,13,71.6,134.92,21643.49,0.8442,0.96
25,13,71.55,137.39,21635.19,0.834,1.0
26,13,71.82,139.33,21651.64,0.8289,1.04
27,13,72.35,143.04,21729.83,0.8227,1.08
28,13,72.9,147.09,22088.62,0.85,1.12
29,13,73.66,150.47,21905.32,0.8414,1.16
30,13,74.16,153.26,21699.6,0.8339,1.2
31,13,74.95,155.38,21987.96,0.8133,1.24
32,13,75.81,157.85,22008.33,0.8075,1.28
33,13,76.98,160.06,21666.51,0.8019,1.32
34,13,77.57,162.18,21585.81,0.8118,1.36
35,13,78.13,163.67,21556.13,0.8135,1.4
36,13,78.4,166.34,21381.61,0.8118,1.44
37,13,78.95,168.83,21291.32,0.8121,1.48
38,13,79.28,173.05,21403.35,0.8191,1.52
39,13,79.4,178.72,21376.77,0.8052,1.56
40,13,79.75,185.23,21967.53,0.8047,1.6
41,13,79.77,191.08,22239.74,0.8044,1.64
42,13,79.64,196.02,22215.42,0.7935,1.68
43,13,80.27,199.13,22137.31,0.7995,1.72
44,13,80.79,203.28,21752.06,0.801,1.76
45,13,81.14,209.24,21934.52,0.8151,1.8
46,13,81.09,213.62,21834.02,0.8066,1.84
47,13,80.78,216.27,21743.63,0.8103,1.88
48,13,81.39,218.75,21415.52,0.8186,1.92
49,13,81.75,220.48,21376.97,0.8096,1.96
50,13,82.37,222.97,21227.88,0.7969,2.0
51,13,83.24,226.1,21562.03,0.7927,2.04
52,13,83.72,228.62,21937.27,0.7981,2.08
53,13,84.34,229.93,21800.45,0.8307,2.12
54,13,84.75,231.78,21844.76,0.8442,2.16
55,13,86.0,237.32,22209.64,0.8493,2.2
56,13,86.73,243.41,22895.88,0.8555,2.24
57,13,86.57,248.92,22617.63,0.8396,2.28
58,13,86.58,254.3,22690.16,0.8386,2.32
59,13,87.67,258.37,22794.8,0.8376,2.36
60,13,88.33,263.04,22548.01,0.8508,2.4
61,13,89.15,268.27,22767.32,0.805,2.44
62,13,90.72,271.15,22522.11,0.7967,2.48
63,13,91.75,273.84,22296.96,0.7785,2.52
64,13,92.88,276.24,22540.11,0.7599,2.56
65,13,94.8,278.31,22746.16,0.7652,2.6
66,13,95.62,279.96,22684.35,0.7877,2.64
67,13,96.97,282.41,22833.19,0.7591,2.68
68,13,98.63,284.81,22726.72,0.8296,2.72
69,13,100.18,287.05,22780.51,0.8164,2.76
70,13,101.69,289.74,22470.3,0.8137,2.8
71,13,102.88,294.05,22376.8,0.8109,2.84
72,13,104.69,299.82,23042.35,0.8453,2.88
73,13,105.31,305.74,23535.42,0.8557,2.92
74,13,106.69,310.35,23476.92,0.869,2.96
75,13,108.11,314.32,23471.28,0.8696,3.0
76,13,109.61,317.94,23285.83,0.8709,3.04
77,13,110.76,323.42,23258.07,0.866,3.08
78,13,111.28,327.79,23506.96,0.8709,3.12
79,13,112.06,331.47,23492.49,0.8661,3.16
80,13,113.29,334.02,23195.24,0.8561,3.2
81,13,114.01,336.64,23305.46,0.8693,3.24
82,13,115.22,337.94,22956.48,0.8609,3.28
83,13,116.21,341.0,22848.84,0.8772,3.32
84,13,117.52,343.1,22949.99,0.8785,3.36
85,13,119.19,344.83,22964.38,0.8663,3.4
86,13,120.87,346.68,23043.33,0.88,3.44
87,13,123.69,349.35,23924.01,0.8936,3.48
88,13,127.88,353.71,25284.54,0.8858,3.52
89,13,129.57,360.42,26426.04,0.8763,3.56
90,13,131.63,365.72,26882.61,0.8548,3.6
91,13,133.36,369.96,27080.01,0.8417,3.64
92,13,135.02,374.95,26796.15,0.838,3.68
93,13,135.13,379.51,25993.02,0.8279,3.72
94,13,134.45,384.46,25223.79,0.8245,3.76
95,13,135.89,387.44,24804.38,0.8234,3.8
96,13,137.69,390.01,24420.59,0.8226,3.84
97,13,138.98,391.56,23736.67,0.8265,3.88
98,13,141.11,393.29,23497.62,0.8619,3.92
99,13,142.9,394.4,23454.54,0.8598,3.96
100,13,145.08,396.61,23889.59,0.8615,4.0
101,13,146.26,398.43,23720.91,0.8548,4.04
102,13,148.42,399.6,23317.66,0.8582,4.08
103,13,149.48,401.46,23195.61,0.8611,4.12
104,13,150.66,406.94,23333.87,0.8735,4.16
105,13,151.61,413.6,23906.99,0.873,4.2
106,13,152.75,419.59,24136.33,0.8719,4.24
107,13,154.31,423.09,24108.09,0.8606,4.28
108,13,156.38,426.92,24038.97,0.856,4.32
109,13,157.85,429.63,23655.51,0.8473,4.36
110,13,158.91,434.54,23866.79,0.8424,4.4
111,13,160.09,438.54,23995.75,0.8623,4.44
112,13,160.65,441.03,24064.7,0.8596,4.48
113,13,162.38,442.06,24222.54,0.8627,4.52
114,13,163.4,443.18,24234.01,0.8656,4.56
115,13,164.16,444.21,24427.46,0.8566,4.6
116,13,166.1,444.94,24398.14,0.8639,4.64
117,13,167.08,445.8,24475.1,0.8702,4.68
