frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,box_width,box_height,box_area
0,1,person,0.8985,95.53,815.07,238.19,1182.7,166.86,998.89,142.66,367.63,52444.24
0,2,person,0.8961,488.76,448.32,641.56,783.2,565.16,615.76,152.8,334.88,51170.05
0,3,person,0.8858,593.21,1387.79,805.68,1785.17,699.45,1586.48,212.47,397.38,84429.24
0,4,person,0.8736,618.65,285.14,748.72,613.66,683.68,449.4,130.07,328.52,42732.17
0,5,person,0.8665,705.96,966.42,838.63,1296.2,772.29,1131.31,132.67,329.79,43754.11
0,6,person,0.8633,0.84,812.22,98.93,1192.45,49.89,1002.34,98.09,380.23,37296.5
0,7,person,0.8625,157.65,213.77,268.48,509.0,213.07,361.39,110.84,295.22,32722.14
0,8,person,0.8544,807.87,889.72,970.78,1215.71,889.33,1052.72,162.91,325.99,53106.74
0,9,person,0.8454,575.17,69.23,687.92,330.82,631.55,200.03,112.75,261.59,29494.68
0,10,person,0.8435,206.02,0.47,301.28,230.99,253.65,115.73,95.26,230.52,21959.36
0,11,person,0.8424,446.47,1444.12,613.76,1840.04,530.12,1642.08,167.3,395.92,66236.41
0,12,person,0.8382,725.84,293.09,821.44,532.78,773.64,412.94,95.6,239.69,22914.54
0,13,person,0.7961,30.11,0.0,108.9,185.92,69.5,92.96,78.78,185.92,14647.53
0,14,handbag,0.7285,768.69,1574.84,822.83,1700.71,795.76,1637.78,54.15,125.87,6815.25
0,15,person,0.6211,978.31,1735.38,1079.33,1919.26,1028.82,1827.32,101.02,183.88,18574.83
1,1,person,0.8936,97.92,819.93,239.19,1187.57,168.56,1003.75,141.27,367.64,51937.14
1,2,person,0.8937,489.79,453.35,642.07,785.97,565.93,619.66,152.28,332.62,50651.92
1,3,person,0.8663,602.74,1393.3,810.29,1789.36,706.52,1591.33,207.55,396.06,82201.96
1,4,person,0.8704,621.46,288.12,753.3,614.94,687.38,451.53,131.84,326.82,43088.17
1,5,person,0.8645,709.65,972.75,842.34,1297.13,775.99,1134.94,132.69,324.37,43041.31
1,6,person,0.8606,0.82,818.09,101.08,1194.96,50.95,1006.53,100.26,376.88,37785.37
1,7,person,0.8581,158.01,218.0,269.57,515.87,213.79,366.93,111.56,297.86,33229.9
1,8,person,0.8455,811.0,896.87,976.93,1225.5,893.97,1061.18,165.93,328.62,54528.96
1,9,person,0.8121,577.07,73.89,688.26,339.42,632.67,206.65,111.19,265.53,29523.14
1,10,person,0.8244,206.51,0.91,303.17,238.39,254.84,119.65,96.67,237.48,22956.05
1,11,person,0.8461,448.35,1449.58,636.28,1844.01,542.32,1646.79,187.93,394.43,74126.38
1,12,person,0.8114,730.45,296.61,824.05,534.57,777.25,415.59,93.59,237.96,22271.61
